지역,2018,2019,2020,2021
강원,30980843.51,28715887.712,27875047.0,30622785.083
경기,74188981.98,73976878.238,72512661.0,82232650.151
경남,53192098.49,48465021.571,35332874.0,43885393.219
경북,76124555.51,79827085.67,85865577.0,81381671.697
광주,514494.2276,562074.508,609551.0,644018.382
대구,2649458.583,2877895.502,2568644.0,2811756.812
대전,183668.7981,167975.238,167834.0,182180.361
부산,38495982.59,37527898.08,40647380.0,40353946.309
서울,640739.4065,1846891.377,5122176.0,5343889.297
세종,3718198.534353,2463629.975876,3552567.0,3776643.917
울산,20588807.14,29016048.83,29808674.0,31503575.385
인천,62929390.03,60052894.797,57135627.0,60506261.758
전남,60066483.57,55753829.248,58217106.0,61841016.176
전북,11742504.53,12282266.949,12599529.0,14322433.433
제주,3371318.793,3994629.14,3821827.0,3967926.374
충남,129631997.7,123904967.248,114103936.0,111228524.334
충북,1626983.225,1604430.71,2221149.0,2204815.677
