구분,2018,2019,2020,2021
강원,16845836.0,16368274.578,16120067.0,16808006.0
경기,122695954.0,123022307.212,124688964.0,133445948.0
경남,35158611.0,34472017.388,34069974.0,35734059.0
경북,45958813.0,44314767.43,41001627.0,44258297.0
광주,8773811.0,8603296.997,8531108.0,8973446.068
대구,15675749.0,15265584.668,14758568.0,15443949.0
대전,9648827.0,9415699.359,9405221.0,9748620.676
부산,21216605.0,20802409.777,20503969.0,21067833.0
서울,47810210.0,47167206.322,45787926.0,47295807.0
세종,3087692.0,3226179.08,3393223.0,4295363.0
울산,33748169.0,34138998.538,33157834.0,33593123.0
인천,24921927.0,24280689.532,23638583.0,24901193.036
전남,34118389.0,32385387.875,30973975.0,33486886.0
전북,22961959.0,22280692.538,20538912.0,21486861.0
제주,5272603.0,5374284.621,5373288.0,5687730.0
충남,52012706.0,52644853.554,50422732.0,48801626.0
충북,26239895.0,26732302.723,26901894.0,28402063.0
