"행정구역별",2018,2019,2020,2021,2022
"전국",514.4,515.7,516.2,515.2,514.6
"서울특별시",15983.7,15926.9,15839.0,15650.1,15560.7
"부산광역시",4409.8,4379.7,4348.9,4316.4,4272.8
"대구광역시",2766.7,2750.3,2728.6,2702.2,2673.7
"인천광역시",2761.4,2776.6,2765.1,2772.8,2801.3
"광주광역시",2973.2,2972.7,2948.5,2944.0,2931.9
"대전광역시",2801.0,2777.5,2758.1,2742.8,2730.7
"울산광역시",1083.4,1076.9,1069.0,1055.0,1044.9
"세종특별자치시",671.9,727.3,761.3,787.7,822.9
"경기도",1286.2,1305.0,1325.3,1338.9,1344.9
"강원도",90.3,90.3,90.4,90.4,90.8
"충청북도",218.8,220.0,220.3,219.4,219.4
"충청남도",265.1,265.4,264.0,263.8,265.9
"전라북도",225.3,224.0,223.4,221.4,219.8
"전라남도",145.0,144.8,144.9,143.9,143.3
"경상북도",140.4,140.2,138.9,138.4,137.7
"경상남도",317.9,317.6,316.2,313.6,311.2
"제주특별자치도",355.8,359.4,362.6,363.8,365.6
