"행정구역(시군구)별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"전국",7297099,7297099,0,2776681,2091234,2091234,2429184,2429184,7104398,7104398,0,2659826,2059624,2059624,2384948,2384948,7735491,7735491,0,2926406,2274971,2274971,2534114,2534114,7213422,7213422,0,2649108,2117080,2117080,2447234,2447234,6152155,6152155,0,2173548,1805002,1805002,2173605,2173605
"서울특별시",1439707,1549937,-110230,430780,548796,548796,460131,570361,1426493,1476081,-49588,406796,543831,543831,475866,525454,1578127,1642977,-64850,444682,623431,623431,510014,574864,1418187,1524430,-106243,387416,569648,569648,461123,567366,1201527,1236867,-35340,302805,468146,468146,430576,465916
"부산광역시",416095,442854,-26759,130540,178172,178172,107383,134142,411704,435058,-23354,125676,176434,176434,109594,132948,491829,506176,-14347,155767,214524,214524,121538,135885,441323,460226,-18903,136072,189085,189085,116166,135069,383848,397410,-13562,109335,169621,169621,104892,118454
"대구광역시",321158,335400,-14242,113477,122144,122144,85537,99779,312419,336092,-23673,112136,119033,119033,81250,104923,347248,364083,-16835,122954,133114,133114,91180,108015,304761,329080,-24319,105699,115986,115986,83076,107395,265354,276873,-11519,81016,102771,102771,81567,93086
"인천광역시",433639,433706,-67,155992,131244,131244,146403,146470,420014,422351,-2337,150091,125990,125990,143933,146270,444556,460304,-15748,163316,134310,134310,146930,162678,433137,421714,11423,150553,126760,126760,155824,144401,395140,367039,28101,123107,116812,116812,155221,127120
"광주광역시",218892,225108,-6216,80537,69166,69166,69189,75405,217130,221005,-3875,75101,74251,74251,67778,71653,226163,232246,-6083,81431,77086,77086,67646,73729,212888,218771,-5883,74956,73211,73211,64721,70604,182924,190566,-7642,62460,65006,65006,55458,63100
"대전광역시",212879,227632,-14753,65470,67848,67848,79561,94314,212424,228766,-16342,65817,68178,68178,78429,94771,232321,243418,-11097,73445,77135,77135,81741,92838,211565,220496,-8931,61757,69778,69778,80030,88961,198705,201701,-2996,56435,66849,66849,75421,78417
"울산광역시",127922,140576,-12654,44554,44138,44138,39230,51884,142056,152228,-10172,50135,51848,51848,40073,50245,136112,149696,-13584,48931,46706,46706,40475,54059,129880,143554,-13674,45646,44822,44822,39412,53086,107747,117283,-9536,35345,35818,35818,36584,46120
"세종특별자치시",86433,55000,31433,28450,0,0,57983,26550,82398,58674,23724,28381,0,0,54017,30293,78934,65909,13025,30045,0,0,48889,35864,76912,62827,14085,30037,0,0,46875,32790,65529,55401,10128,25292,0,0,40237,30109
